Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,latitude,longitude
Grove Park,2 The Linkway,,Brighton,,BN1 7EJ,1273543574,1-12061999143,1-12611592486,https://www.groveparkhealth.com/,Brighton and Hove,South East,2025-06-27T10:00:43Z,https://www.cqc.org.uk/location/1-12611592486,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems,Physical disabilities",50.8420375,-0.1274174
Brighton & Hove City Council - 15 Preston Drove,15 Preston Drove,,Brighton,East Sussex,BN1 6LA,1273294310,1-101611279,1-129579127,,Brighton and Hove,South East,2019-02-22T00:00:00Z,https://www.cqc.org.uk/location/1-129579127,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",50.8436238,-0.150098
Swanborough House,Swanborough Drive,,Brighton,,BN2 5PH,1273696391,1-8921908585,1-9261614468,,Brighton and Hove,South East,2021-12-31T00:00:00Z,https://www.cqc.org.uk/location/1-9261614468,,"Services for everyone,Caring for adults under 65 yrs,Physical disabilities",50.8313551,-0.1025497
Westwood Care Home,9 Knoyle Road,,Brighton,East Sussex,BN1 6RB,1273553077,1-101626430,1-107941915,,Brighton and Hove,South East,2023-04-25T00:00:00Z,https://www.cqc.org.uk/location/1-107941915,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",50.844776,-0.1498892
290 Dyke Road,290 Dyke Road,,Brighton,East Sussex,BN1 5BA,1273552069,1-116992858,1-9655173051,https://www.achievetogether.co.uk,Brighton and Hove,South East,2019-03-13T00:00:00Z,https://www.cqc.org.uk/location/1-9655173051,,"Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",50.8422759,-0.1588862
Hazelgrove Nursing Home,Heath Hill Avenue,,Brighton,East Sussex,BN2 4FH,1273886788,1-2684417546,1-2756625697,,Brighton and Hove,South East,2023-11-17T00:00:00Z,https://www.cqc.org.uk/location/1-2756625697,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",50.8423648,-0.1028045
Partridge House Nursing and Residential Care Home,Leybourne Road,Off Heath Hill Avenue,Brighton,East Sussex,BN2 4LS,1273674499,1-19880134345,1-19884189223,https://www.goldcarehomes.com,Brighton and Hove,South East,2025-02-10T10:15:29Z,https://www.cqc.org.uk/location/1-19884189223,,"Dementia,Caring for adults over 65 yrs",51.5431075,-0.440836
Bramble Cottage Retirement Home,18 Carden Avenue,Patcham,Brighton,East Sussex,BN1 8NA,1273565821,1-101676074,1-116453225,https://www.bramblecottagebrighton.com,Brighton and Hove,South East,2020-01-24T00:00:00Z,https://www.cqc.org.uk/location/1-116453225,,Caring for adults over 65 yrs,50.8559919,-0.1520421
Hallmark Maycroft Manor Luxury Care Home,2-8 Carden Avenue,,Brighton,East Sussex,BN1 8NA,1273859790,1-973909930,1-1085049968,https://www.hallmarkcarehomes.co.uk,Brighton and Hove,South East,2022-11-08T00:00:00Z,https://www.cqc.org.uk/location/1-1085049968,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",50.8561009,-0.1537351
Dane House,52A Dyke Road Avenue,,Brighton,,BN1 5LE,1273059729,1-101618482,1-7739786252,,Brighton and Hove,South East,2023-01-10T00:00:00Z,https://www.cqc.org.uk/location/1-7739786252,,Learning disabilities,50.8520737,-0.1659399
The Outlook Foundation,74 Redhill Drive,,Brighton,East Sussex,BN1 5FL,1273555252,1-101644884,1-118717239,https://www.outlookhouse.co.uk,Brighton and Hove,South East,2018-11-14T00:00:00Z,https://www.cqc.org.uk/location/1-118717239,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",50.8572066,-0.1654929
Dean Wood Care Home,Warren Road,,Brighton,East Sussex,BN2 6DX,1273987620,1-116865215,1-700365613,,Brighton and Hove,South East,2024-03-26T13:51:53Z,https://www.cqc.org.uk/location/1-700365613,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",51.4537772,-0.3553278
Place Farm House,Ladies Mile Road,,Brighton,East Sussex,BN1 8QE,1273563902,1-2662854406,1-2901955416,,Brighton and Hove,South East,2023-07-15T00:00:00Z,https://www.cqc.org.uk/location/1-2901955416,,Caring for adults over 65 yrs,50.8636563,-0.1481205
The Adelaide Nursing Home,203-205 New Church Road,Hove,Brighton,East Sussex,BN3 4ED,1273410530,1-101641728,1-118358200,,Brighton and Hove,South East,2021-09-18T00:00:00Z,https://www.cqc.org.uk/location/1-118358200,,"Caring for adults over 65 yrs,Physical disabilities",50.8326788,-0.2048988
Brighton & Hove City Council - Ireland Lodge,Lockwood Crescent,Woodingdean,Brighton,East Sussex,BN2 6UH,1273296120,1-101611279,1-129560065,,Brighton and Hove,South East,2022-07-09T00:00:00Z,https://www.cqc.org.uk/location/1-129560065,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",50.8324993,-0.0672639
Patcham Nursing Home,Eastwick Barn,Eastwick Close,Brighton,East Sussex,BN1 8SF,1273501358,1-101617072,1-115912493,https://www.wrenretirement.co.uk,Brighton and Hove,South East,2025-04-25T09:32:18Z,https://www.cqc.org.uk/location/1-115912493,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",50.8698086,-0.1310231
Gate Cottage Rest Home,Bazehill Road,Rottingdean,Brighton,East Sussex,BN2 7DB,1273301890,1-137444152,1-309463437,,Brighton and Hove,South East,2019-04-17T00:00:00Z,https://www.cqc.org.uk/location/1-309463437,,Caring for adults over 65 yrs,50.8104714,-0.0559586
Rottingdean Nursing and Care Home,30-32 Newlands Road,Rottingdean,Brighton,East Sussex,BN2 7GD,1273750260,1-101716383,1-126435132,,Brighton and Hove,South East,2021-03-27T00:00:00Z,https://www.cqc.org.uk/location/1-126435132,,Caring for adults over 65 yrs,50.8052315,-0.0544061
Harmony House Nursing Home,"Harmony House, 283 Old Shoreham Road",Southwick,Brighton,East Sussex,BN42 4LP,1273415630,1-131473410,1-152838832,https://www.harmonyhouse.uk.com,West Sussex,South East,2019-06-13T00:00:00Z,https://www.cqc.org.uk/location/1-152838832,,"Caring for adults over 65 yrs,Physical disabilities",50.8368,-0.2384
The Lustrells,27 Lustrells Crescent,Saltdean,Brighton,East Sussex,BN2 8AR,1273309872,1-101656785,1-2297756282,https://www.glenholme.org.uk,Brighton and Hove,South East,2020-03-28T00:00:00Z,https://www.cqc.org.uk/location/1-2297756282,,"Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",50.8064362,-0.043621
Lustrells Vale,52 Lustrells Vale,Saltdean,Brighton,East Sussex,BN2 8FE,1273875507,1-101656785,1-3493204877,https://www.glenholme.org.uk,Brighton and Hove,South East,2018-11-14T00:00:00Z,https://www.cqc.org.uk/location/1-3493204877,,"Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",50.8076522,-0.0428955
The Highviews,47 Saltdean Drive,Saltdean,Brighton,East Sussex,BN2 8SD,1273107438,1-101688266,1-12124677628,,Brighton and Hove,South East,2023-08-31T00:00:00Z,https://www.cqc.org.uk/location/1-12124677628,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",50.8056986,-0.0430813
The Whitehouse,1 Chichester Drive West,Saltdean,Brighton,East Sussex,BN2 8SH,,1-101645324,1-509991189,,Brighton and Hove,South East,2019-03-29T00:00:00Z,https://www.cqc.org.uk/location/1-509991189,,Caring for adults over 65 yrs,50.8046495,-0.0428688
Arundel Park Lodge,22-24 Arundel Drive East,Saltdean,Brighton,East Sussex,BN2 8SL,1273303449,1-101659520,1-121757440,https://www.whytecliffe.co.uk,Brighton and Hove,South East,2019-09-06T00:00:00Z,https://www.cqc.org.uk/location/1-121757440,,"Dementia,Caring for adults over 65 yrs",50.8024327,-0.0390523
Greenways Care home,6-8 Victoria Road,Southwick,Brighton,East Sussex,BN42 4DH,1273591573,1-101665316,1-22158154537,,West Sussex,South East,2022-10-27T00:00:00Z,https://www.cqc.org.uk/location/1-22158154537,,"Dementia,Caring for adults over 65 yrs",50.8325267,-0.2417215
St Clare Rest Home,14 Park Lane,Southwick,Brighton,East Sussex,BN42 4DL,1273591695,1-101704520,1-120629979,,West Sussex,South East,2019-05-23T00:00:00Z,https://www.cqc.org.uk/location/1-120629979,,Caring for adults over 65 yrs,50.8335728,-0.24151
The Seagulls,6 Crowborough Road,Saltdean,Brighton,East Sussex,BN2 8EA,1273459062,1-101688266,1-12124677591,,East Sussex,South East,2020-01-17T00:00:00Z,https://www.cqc.org.uk/location/1-12124677591,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs",50.8001096,-0.0346455
Crowborough Lodge Residential Care Home,2 Crowborough Road,Saltdean,Brighton,East Sussex,BN2 8EA,1273302614,1-101645324,1-169624641,https://www.crowborough-lodge.com,East Sussex,South East,2019-09-13T00:00:00Z,https://www.cqc.org.uk/location/1-169624641,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",51.0422255,0.1692602
